EnsembleID,P3240SPE,P3072PE,P3330PE,P3113SPE
ENSG00000189223,3.811382128,4.720008595,1.362028924,4.143143891
ENSG00000189227,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000189229,2.39752232,1.362028924,1.362028924,1.362028924
ENSG00000189233,1.362028924,2.873298476,2.297582008,2.482889605
ENSG00000189241,5.285415505,4.720008595,5.047308503,5.351202356
ENSG00000189266,6.856835279,5.898535294,5.759675983,5.386345752
ENSG00000189283,2.866484304,1.362028924,2.297582008,2.196479516
ENSG00000189298,1.362028924,1.362028924,1.362028924,2.196479516
ENSG00000189306,2.571337666,2.873298476,4.057074522,4.567322475
ENSG00000189308,7.251130252,4.720008595,5.695817466,6.190418022
ENSG00000189319,3.320682329,4.432835737,3.264245782,4.143143891
ENSG00000189326,1.970750446,1.362028924,1.362028924,1.362028924
ENSG00000189337,4.553601491,3.595062759,2.297582008,4.143143891
ENSG00000189339,3.320682329,4.959398801,3.264245782,3.65948132
ENSG00000189343,1.698259332,4.959398801,3.264245782,2.721750054
ENSG00000189350,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000189362,2.199859906,4.432835737,2.297582008,1.83876202
ENSG00000189369,2.199859906,1.362028924,1.362028924,1.83876202
ENSG00000189376,1.970750446,1.362028924,1.362028924,1.362028924
ENSG00000189403,11.42326367,9.222035564,10.08216899,9.794981021
ENSG00000189420,1.698259332,1.362028924,1.362028924,1.83876202
ENSG00000189423,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000189430,1.698259332,1.362028924,2.297582008,2.482889605
ENSG00000194297,1.362028924,1.362028924,3.837922805,1.362028924
ENSG00000194717,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000196071,3.665606462,1.362028924,2.297582008,1.362028924
ENSG00000196072,4.17687333,3.595062759,4.415312308,4.143143891
ENSG00000196074,2.726445499,1.362028924,1.362028924,2.196479516
ENSG00000196081,2.571337666,3.595062759,2.297582008,2.482889605
ENSG00000196083,1.970750446,1.362028924,1.362028924,2.721750054
ENSG00000196091,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196092,1.698259332,5.647880738,5.047308503,4.439304308
ENSG00000196109,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000196110,1.362028924,1.362028924,2.297582008,3.409117527
ENSG00000196115,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000196116,3.320682329,4.720008595,4.247284286,3.77005544
ENSG00000196118,1.698259332,1.362028924,1.362028924,2.721750054
ENSG00000196123,2.199859906,1.362028924,1.362028924,2.482889605
ENSG00000196126,2.994124522,4.720008595,6.188766132,5.240323861
ENSG00000196132,2.199859906,4.720008595,1.362028924,3.105989111
ENSG00000196139,2.39752232,1.362028924,1.362028924,1.362028924
ENSG00000196141,3.943770414,2.873298476,3.837922805,2.482889605
ENSG00000196150,1.970750446,3.595062759,2.297582008,3.105989111
ENSG00000196151,2.571337666,1.362028924,1.362028924,2.482889605
ENSG00000196152,3.586794977,2.873298476,3.837922805,3.265500105
ENSG00000196154,3.414946844,5.164662069,5.759675983,5.120209001
ENSG00000196155,1.698259332,1.362028924,1.362028924,1.83876202
ENSG00000196159,2.726445499,1.362028924,2.860406165,1.83876202
ENSG00000196166,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000196167,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196169,1.362028924,2.873298476,3.579413189,1.362028924
ENSG00000196172,2.199859906,1.362028924,2.860406165,2.721750054
ENSG00000196177,2.866484304,1.362028924,3.264245782,3.539723606
ENSG00000196182,8.005091727,6.678998746,7.232277613,6.910955721
ENSG00000196183,1.362028924,2.873298476,2.297582008,1.83876202
ENSG00000196187,5.904816852,4.959398801,3.264245782,6.305048066
ENSG00000196188,1.362028924,2.873298476,1.362028924,1.362028924
ENSG00000196189,3.111384157,2.873298476,4.057074522,4.567322475
ENSG00000196199,5.099209574,6.980144287,5.935863512,6.248871243
ENSG00000196204,4.817946355,3.595062759,3.837922805,4.567322475
ENSG00000196205,2.199859906,7.4014146,4.057074522,5.610950057
ENSG00000196209,2.39752232,4.959398801,2.860406165,4.567322475
ENSG00000196214,5.35840478,4.432835737,5.485300064,4.143143891
ENSG00000196218,2.866484304,1.362028924,2.297582008,2.482889605
ENSG00000196227,2.571337666,4.720008595,1.362028924,3.65948132
ENSG00000196230,7.544916706,6.297947081,6.625723403,6.51014243
ENSG00000196233,8.566102427,4.073925384,7.723508019,7.144418376
ENSG00000196235,7.10324585,7.033503759,7.209591742,7.144418376
ENSG00000196236,3.665606462,1.362028924,4.702055223,3.968626535
ENSG00000196247,2.866484304,2.873298476,3.837922805,5.034190322
ENSG00000196260,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000196262,7.645560274,8.019280486,7.232277613,7.11329189
